beh_ao_lmr_num,year,rank,beh_ao_lmr_str
Freiburg,2011,15,Freiburg
Freiburg,2015,16,Freiburg
Freiburg,2019,13,Freiburg
Ortenaukreis,2007,62,Ortenaukreis
Ortenaukreis,2011,53,Ortenaukreis
Ortenaukreis,2015,46,Ortenaukreis
Ortenaukreis,2019,51,Ortenaukreis
Rottweil,2007,75,Rottweil
Rottweil,2011,76,Rottweil
Rottweil,2015,74,Rottweil
Rottweil,2019,62,Rottweil
Konstanz,2007,34,Konstanz
Konstanz,2011,27,Konstanz
Konstanz,2015,28,Konstanz
Konstanz,2019,22,Konstanz
Lörrach,2007,98,Lörrach
Lörrach,2011,95,Lörrach
Lörrach,2015,78,Lörrach
Lörrach,2019,77,Lörrach
Waldshut,2007,121,Waldshut
Waldshut,2011,121,Waldshut
Waldshut,2015,103,Waldshut
Waldshut,2019,108,Waldshut
Reutlingen,2007,49,Reutlingen
Reutlingen,2011,48,Reutlingen
Reutlingen,2015,47,Reutlingen
Reutlingen,2019,37,Reutlingen
Zollernalbkreis,2007,127,Zollernalbkreis
Zollernalbkreis,2011,134,Zollernalbkreis
Zollernalbkreis,2015,129,Zollernalbkreis
Zollernalbkreis,2019,116,Zollernalbkreis
Ulm,2007,33,Ulm
Ulm,2011,29,Ulm
Ulm,2015,20,Ulm
Ulm,2019,28,Ulm
Ravensburg,2007,35,Ravensburg
Ravensburg,2011,31,Ravensburg
Ravensburg,2015,33,Ravensburg
Ravensburg,2019,30,Ravensburg
Sigmaringen,2007,135,Sigmaringen
Sigmaringen,2011,125,Sigmaringen
Sigmaringen,2015,125,Sigmaringen
Sigmaringen,2019,123,Sigmaringen
Ingolstadt,2007,21,Ingolstadt
Ingolstadt,2011,20,Ingolstadt
Ingolstadt,2015,18,Ingolstadt
Ingolstadt,2019,19,Ingolstadt
München,2007,1,München
München,2011,2,München
München,2015,2,München
München,2019,1,München
Altötting,2007,76,Altötting
Altötting,2011,83,Altötting
Altötting,2015,72,Altötting
Altötting,2019,60,Altötting
Traunstein,2007,25,Traunstein
Traunstein,2011,23,Traunstein
Traunstein,2015,19,Traunstein
Traunstein,2019,12,Traunstein
Weilheim-Schongau,2007,32,Weilheim-Schongau
Weilheim-Schongau,2011,28,Weilheim-Schongau
Weilheim-Schongau,2015,26,Weilheim-Schongau
Weilheim-Schongau,2019,26,Weilheim-Schongau
Deggendorf,2007,86,Deggendorf
Deggendorf,2011,89,Deggendorf
Deggendorf,2015,62,Deggendorf
Deggendorf,2019,47,Deggendorf
Freyung-Grafenau,2007,140,Freyung-Grafenau
Freyung-Grafenau,2011,137,Freyung-Grafenau
Freyung-Grafenau,2015,135,Freyung-Grafenau
Freyung-Grafenau,2019,118,Freyung-Grafenau
Passau,2007,81,Passau
Passau,2011,78,Passau
Passau,2015,57,Passau
Passau,2019,50,Passau
Landshut,2007,24,Landshut
Landshut,2011,30,Landshut
Landshut,2015,22,Landshut
Landshut,2019,23,Landshut
Cham,2007,114,Cham
Cham,2011,114,Cham
Cham,2015,108,Cham
Cham,2019,91,Cham
Amberg,2007,91,Amberg
Amberg,2011,79,Amberg
Amberg,2015,87,Amberg
Amberg,2019,84,Amberg
Regensburg,2007,12,Regensburg
Regensburg,2011,9,Regensburg
Regensburg,2015,9,Regensburg
Regensburg,2019,10,Regensburg
Bamberg,2007,44,Bamberg
Bamberg,2011,45,Bamberg
Bamberg,2015,43,Bamberg
Bamberg,2019,44,Bamberg
Bayreuth,2007,67,Bayreuth
Bayreuth,2011,66,Bayreuth
Bayreuth,2015,55,Bayreuth
Bayreuth,2019,52,Bayreuth
Coburg,2007,65,Coburg
Coburg,2011,65,Coburg
Coburg,2015,64,Coburg
Coburg,2019,74,Coburg
Hof,2007,73,Hof
Hof,2011,73,Hof
Hof,2015,92,Hof
Hof,2019,86,Hof
Kronach,2007,134,Kronach
Kronach,2011,130,Kronach
Kronach,2015,138,Kronach
Kronach,2019,138,Kronach
Erlangen,2007,23,Erlangen
Erlangen,2011,16,Erlangen
Erlangen,2015,14,Erlangen
Erlangen,2019,21,Erlangen
Nürnberg,2007,11,Nürnberg
Nürnberg,2011,18,Nürnberg
Nürnberg,2015,11,Nürnberg
Nürnberg,2019,11,Nürnberg
Ansbach,2007,88,Ansbach
Ansbach,2011,103,Ansbach
